Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,365
design__inferred_latch__count,0
design__instance__count,114809
design__instance__area,1.74471E+6
design__instance_unmapped__count,0
synthesis__check_error__count,367
design__max_slew_violation__count__corner:nom_tt_025C_3v30,1060
design__max_fanout_violation__count__corner:nom_tt_025C_3v30,0
design__max_cap_violation__count__corner:nom_tt_025C_3v30,115
power__internal__total,0.14456002414226532
power__switching__total,0.12902109324932098
power__leakage__total,0.000005489134309755173
power__total,0.27358660101890564
clock__skew__worst_hold__corner:nom_tt_025C_3v30,-0.7471256602635292
clock__skew__worst_setup__corner:nom_tt_025C_3v30,0.7251017214119506
timing__hold__ws__corner:nom_tt_025C_3v30,0.6712124379621234
timing__setup__ws__corner:nom_tt_025C_3v30,8.284125619962433
timing__hold__tns__corner:nom_tt_025C_3v30,0.0
timing__setup__tns__corner:nom_tt_025C_3v30,0.0
timing__hold__wns__corner:nom_tt_025C_3v30,0
timing__setup__wns__corner:nom_tt_025C_3v30,0.0
timing__hold_vio__count__corner:nom_tt_025C_3v30,0
timing__hold_r2r__ws__corner:nom_tt_025C_3v30,0.671212
timing__hold_r2r_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_vio__count__corner:nom_tt_025C_3v30,0
timing__setup_r2r__ws__corner:nom_tt_025C_3v30,8.284125
timing__setup_r2r_vio__count__corner:nom_tt_025C_3v30,0
design__max_slew_violation__count__corner:max_ss_125C_3v00,1963
design__max_fanout_violation__count__corner:max_ss_125C_3v00,0
design__max_cap_violation__count__corner:max_ss_125C_3v00,160
clock__skew__worst_hold__corner:max_ss_125C_3v00,-0.9977920994084842
clock__skew__worst_setup__corner:max_ss_125C_3v00,0.9405747558147655
timing__hold__ws__corner:max_ss_125C_3v00,1.8928068537177873
timing__setup__ws__corner:max_ss_125C_3v00,-16.972454144734673
timing__hold__tns__corner:max_ss_125C_3v00,0.0
timing__setup__tns__corner:max_ss_125C_3v00,-6421.9595512434
timing__hold__wns__corner:max_ss_125C_3v00,0
timing__setup__wns__corner:max_ss_125C_3v00,-16.972454144734673
timing__hold_vio__count__corner:max_ss_125C_3v00,0
timing__hold_r2r__ws__corner:max_ss_125C_3v00,1.892807
timing__hold_r2r_vio__count__corner:max_ss_125C_3v00,0
timing__setup_vio__count__corner:max_ss_125C_3v00,1092
timing__setup_r2r__ws__corner:max_ss_125C_3v00,-16.972454
timing__setup_r2r_vio__count__corner:max_ss_125C_3v00,1092
design__max_slew_violation__count__corner:max_ff_n40C_3v60,1623
design__max_fanout_violation__count__corner:max_ff_n40C_3v60,0
design__max_cap_violation__count__corner:max_ff_n40C_3v60,130
clock__skew__worst_hold__corner:max_ff_n40C_3v60,-0.6687480203335132
clock__skew__worst_setup__corner:max_ff_n40C_3v60,0.6528790470822283
timing__hold__ws__corner:max_ff_n40C_3v60,0.17278712283363562
timing__setup__ws__corner:max_ff_n40C_3v60,11.81351760963647
timing__hold__tns__corner:max_ff_n40C_3v60,0.0
timing__setup__tns__corner:max_ff_n40C_3v60,0.0
timing__hold__wns__corner:max_ff_n40C_3v60,0
timing__setup__wns__corner:max_ff_n40C_3v60,0.0
timing__hold_vio__count__corner:max_ff_n40C_3v60,0
timing__hold_r2r__ws__corner:max_ff_n40C_3v60,0.172787
timing__hold_r2r_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_vio__count__corner:max_ff_n40C_3v60,0
timing__setup_r2r__ws__corner:max_ff_n40C_3v60,16.526834
timing__setup_r2r_vio__count__corner:max_ff_n40C_3v60,0
design__max_slew_violation__count,1963
design__max_fanout_violation__count,0
design__max_cap_violation__count,160
clock__skew__worst_hold,-0.6687480203335132
clock__skew__worst_setup,0.6528790470822283
timing__hold__ws,0.17278712283363562
timing__setup__ws,-16.972454144734673
timing__hold__tns,0.0
timing__setup__tns,-6421.9595512434
timing__hold__wns,0
timing__setup__wns,-16.972454144734673
timing__hold_vio__count,0
timing__hold_r2r__ws,0.172787
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1092
timing__setup_r2r__ws,-16.972454
timing__setup_r2r_vio__count,1092
design__die__bbox,0.0 0.0 1650.0 1100.0
design__core__bbox,6.72 15.68 1643.04 1081.92
design__io,61
design__die__area,1.815E+6
design__core__area,1.74471E+6
design__instance__count__stdcell,47648
design__instance__area__stdcell,1.10376E+6
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.632631
design__instance__utilization__stdcell,0.632631
design__rows,272
design__rows:GF018hv5v_mcu_sc7,272
design__sites,794784
design__sites:GF018hv5v_mcu_sc7,794784
design__instance__count__class:tie_cell,1
design__instance__area__class:tie_cell,8.7808
design__instance__count__class:buffer,3
design__instance__area__class:buffer,39.5136
design__instance__count__class:inverter,1184
design__instance__area__class:inverter,10637.9
design__instance__count__class:sequential_cell,5144
design__instance__area__class:sequential_cell,378990
design__instance__count__class:multi_input_combinational_cell,28262
design__instance__area__class:multi_input_combinational_cell,595211
flow__warnings__count,1
flow__errors__count,0
flow__warnings__count:ODB-0220,1
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__instance__count__class:endcap_cell,544
design__instance__area__class:endcap_cell,2388.38
design__instance__count__class:tap_cell,11375
design__instance__area__class:tap_cell,49940.8
design__power_grid_violation__count__net:VDD,0
design__power_grid_violation__count__net:VSS,0
design__power_grid_violation__count,0
flow__warnings__count:GRT-0281,2
timing__drv__floating__nets,2
timing__drv__floating__pins,0
design__instance__displacement__total,620.48
design__instance__displacement__mean,0.013
design__instance__displacement__max,29.68
route__wirelength__estimated,1.74974E+6
design__violations,0
design__instance__count__class:clock_buffer,275
design__instance__area__class:clock_buffer,28634.2
design__instance__count__class:timing_repair_buffer,767
design__instance__area__class:timing_repair_buffer,35281.3
flow__warnings__count:RSZ-0020,1
design__instance__count__class:clock_inverter,93
design__instance__area__class:clock_inverter,2625.46
flow__warnings__count:CTS-0041,2
design__instance__count__setup_buffer,72
design__instance__count__hold_buffer,54
flow__warnings__count:RSZ-0062,1
global_route__vias,325279
global_route__wirelength,3075777
antenna__violating__nets,24
antenna__violating__pins,26
route__antenna_violation__count,24
antenna_diodes_count,0
route__net,35598
route__net__special,2
route__drc_errors__iter:0,0
route__wirelength__iter:0,2050483
route__drc_errors__iter:1,3127
route__wirelength__iter:1,2057313
route__drc_errors__iter:2,2580
route__wirelength__iter:2,2053687
route__drc_errors__iter:3,28
route__wirelength__iter:3,2050506
route__drc_errors__iter:4,0
route__wirelength__iter:4,2050483
route__drc_errors,0
route__wirelength,2050483
route__vias,287837
route__vias__singlecut,287837
route__vias__multicut,0
flow__warnings__count:DRT-0120,88
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,4465.55
design__instance__count__class:fill_cell,67161
design__instance__area__class:fill_cell,640952
